"A: Let's go swimming in the sea.
B: Oh, no! ( it / cold / to / is / too / swim ) today.",It is too cold to swim today.
"A: How (   ) do you play tennis?
B: Once a week.
1 much  2 far  3 long  4 often",4
"(   ) abroad with his family next summer?
1 Is Koji going to  2 Will Koji go  3 Will Koji go to  4 Is Koji go",2
"A: Who ( standing / next / is / the boy / that tree / to )?
B: He is a new student, Akira.",Who is the boy standing next to that tree?
電車でいくのが３つの中で一番いい。,"Going by train is the best ( way ) of the three.
Taking a train も可"
"あなたはどうやってその情報を手に入れたのですか。
How did you get the (   )?",information [ news ]
"バスケットボールの練習後、木の下にいる少女たちは疲れているように見えます。
After practicing basketball, ( look / the girls / under / tired / see / the tree ). (1語不要）","After practicing basketball, the girls under the tree look tired. "
"My mother and sister (   ) dinner in the kitchen when I went into it.
1 makes  2 was making  3 are making  4 were making",4 were making
"A: Excuse me. Where should I (   ) the train to go to Ginza?
B: At the next station.
1 take off  2 pick up  3 get up  4 get off",4 get off
"A: (   ) was your school life like in Australia?
B: Oh, it was great. I enjoyed it very much.
1 How  2 What  3 When  4 Where",2 What
"A: Is dinner (   ), Mother?
B: No, I'm cooking it now.
1 tired  2 hungry  3 ready  4 soon",3 ready
"Our English teacher always (   ) us interesting  stories in his class.
1 talks  2 tells  3 speaks  4 says",2 tells
"Our soccer team didn't have a game yesterday. The bad weather was the (   ).
1 answer  2 reason  3 place  4 newspaper",2 reason
"Mary will go to the park with us, but Tom and Mike (   ).
1 will  2 don't  3 didn't  4 won't",4 won't
"A: I couldn't hear you. (   ) say that again?
B: Yes, of course.
1 Will I  2 May I  3 Can you  4 Do you have to",3 can you
"あなたがパーティに来てくれたら、私たちはうれしいです。
We ( are / if / happy / will / you / be ) come to the party.  [1語不要]",We will be happy if you come to the party. 
"I feel very hungry (   ) I didn't have breakfast this morning.
1 so  2 but  3 that  4 because",4 because
"The song is very popular (   ) the girls in my class.
1 among  2 during  3 on  4 without",1 among
"This shirt is too big for me.  Could you show me (   ) one?
1 other  2 another  3 others  4 the others",2 another
"(   ) of the students has a computer.
1 All  2 Each  3 Many  4 Some",2 Each
"Jane was walking home when (   ) started to rain.
1 it  2 this  3 that  4 they",1 it
"One of my friends (   ) many things about trains.
1 know  2 knows  3 is knowing  4 are knowing",2 knows
"Mr. Brown (   ) his students to the zoo and showed them many kinds of animals there.
1 got  2 went  3 took  4 made",3 took
"お母さんにサンドイッチを作ってあげたらどうですか。
( about / to / some sandwiches / making / how / for ) your mother? [1語不要]",How about making sandwiches for your mother?
"友達と話していると楽しい。
( with / when / is / my friends / talking / fun ). [1語不要]",Talking with my friends is fun.
"My brother (   ) money when we went to the shop, so I gave him some.
1 had no  2 had any  3 didn't have many  4 didn't have few",1 had  no
"A: Which is (   ), Question 1 or Question 2?
B: I think Question 2 is.  I got the answer for Question 1 easily.
1 more useful  2 most useful  3 more difficult  4 most difficult",3 more difficult
"あなたのクラスの15人の女子の中でいちばん足が速いのはだれですか。
( runs / in / the fastest / faster / of / the fifteen girls / who ) your class? [1語不要]",Who runs the fastest of the fifteen girls in your class?
"Our teacher hopes (   ) a foreign country this year.
1 visiting  2 visits  3 visited  4 to visit",4 to visit
"A: Did you go to Okinawa (   )?
B: No, I didn't. I often went there when I was young.
1 before  2 many times  3 next summer  4 for the first time",4 for the first time
"Emi's father can speak Chinese (   ) .
1 lot  2 a few  3 many  4 a little",4 a little
"Last night you (      ) tired, but you weren't so.
1 saw    2 watched    3 looked    4 was",3 looked
"When I got home, my brother and sister (      ) TV.
1 watch    2 was watching    3 were watching    4 will watch",3 were watching
"8月は1年の8番目の月です。
August is the (      ) month of the year.",eighth
"その猫は口に魚を一匹加えています。
The cat has a fish in its (      ).",mouth
"東京は今日、曇っています。
It is (      ) in Tokyo today.",cloudy
"静岡の天気はどうですか。
How's the (      ) in Shizuoka?",weather
"私たちはインターネットから情報を得ることができます。
We can get (      ) from the Internet.",information
"A: ( your brother / is / what / interested / subject ) in?
B: Science.",What subject is your brother interested in?
"""I want to call my mother. (      ) use your phone?""
""Yes, of course. It's in the next room.""
1 Can I    2 Did I    3 Can you    4 May you",1 Can I
"Everyone (      ) to speak English in this class.
1 must    2 has    3 have    4 having",2 has
"A: Did you enjoy Tom's birthday party yesterday?
B: No. I ( time / to / go / no / had / .)",I had no time to go.
"""Who is your English teacher?"" ""Mr. Kato teaches (      ).""
1 English us    2 us to English    3 us for English    4 us English",4 us English
"A: The ( the / is / bag / table / on ) yours, right?
B: No. That is my sister's.","The bag on the table is yours, right?"
"A: When ( Mr. Brown / to / is / leave / going ) Japan?
B: Well, I don't know.",When is Mr. Brown going to leave Japan?
"A: Why ( many / were / in / people / there ) that park yesterday?
B: Because a famous movie star came to the park.",Why were there many people in that park yesterday?
"もしいっしょに行きたいなら、私たちはあなたをそこにつれていくことができるわ。(10words) * if , take , there を使う","If you want to go, we can take you there."
僕は写真をたくさん撮るのが好きなんだ。(6words),I like to take many pictures.
明日10時に私の家を出発しましょう。(7words) * leave,Let's leave my house at ten tomorrow.
あなたはどのスポーツをテレビで見ましたか。 ( did / do / on / sport / TV / you / watch / which )?一語不要,Which sport did you see on TV?
"A: [ Mr. Brown / where / going / was / when ] you met him?
B: To the station. ",Where was Mr. Brown going when you met him?
"Mr. Suzuki opened a new shop. Do you know (    ) name? 
1. an 　2. its 　3. it’s 　4. one’s",2 its
"Takeshi and I came here by bike. My bike is here and (    ) is there.  –Yes, I can see your bikes.
1. Takeshi 2. he 3. his 4. him",3 his
"How many (    ) ago did you see the movie?
1. times 2. time 3. date 4. years",4 years
"A: Look. Aki is coming with her sister's baby.
B: Wow! She's ( holding / in / like / her arms / him ) a mother.",She's holding him in her arms like a mother.
"A: Who (   ) the book about Chinese history to the students?
B: Ken's father did.
1 was reading  2 reads  3 read  4 did he read",3
"A: (   ) go shopping with me?
B: That's good!
1 Would you like  2 Shall I  3 How about  4 Why don't you",4
"A: Is ( the bus / the library / this / goes to / which ) ?
B: Yes. It leaves here at three.",Is this the bus which goes to the library?
"彼女は毎日違う服を着ています。
She wears (   ) clothes every day.",different
"A: I've ( seen / beautiful flowers / such / of / made / never ) paper.
B: Oh, really? You were lucky to see them.",I've never seen such beautiful flowers made of paper.
そのときから私たちはずっといい友達なのよ。,"We have been good friends since then,"
"あなたの好きな色は何ですか。
What is youe favorite (   )?",color
"These stories (   ) last year.
1 wrote  2 have written  3 were written  4 were writing",3
あなたと一緒にお昼を食べてもいいかしら。,Can I have lunch with you?
"Tom is sick now, but he will get well (   ) a few days.
1 for  2 in  3 with   4 from",2
"私たちは森を通り抜けて、ある村に来ました。
We walked (   ) the forest and came to a village.",through
"あなたはいつ自転車の鍵をなくしたのですか。
When did you (   ) the key for your bike?",lose
"Emi should keep (   ) the piano very hard every day.
1 practicing  2 practice  3 practiced  4 to practice",1
"30人より多くの人がそのパーティに参加しました。
(   ) (   ) thirty people jined the party.",More than
サッカーとバスケットボールとではどっちが好きなの。,"Which do you like better, soccer or basketball?"
"A: Thank you ( telling / to / where / buy / for / me ) the ticket.
B: You're welcome. Enjoy the movie.",Thank you for telling me where to buy the ticket.
"A: Mary ( show / asked / her / me / this town / around / to ). Please come with me. You can speak English well.
B: Sure, no problem.",Mary asked me to show her around this town.
写真を撮っている男の子が私の兄です。,The boy ( who is ) taking a picture is my brother.
"Takeshi (   ) happy when he is playing baseball.
1 sees  2 looks  3 watches  4 makes",2 looks
"A: Can you ( anything / your country / tell / about / me )?
B: Of course.",Can you tell me anything about your country?
"My city is famous (   ) its cherry trees.
1 by  2 for  3 on  4 at",2 for
"Can I use your pen? - Yes, here (   ) are.
1 we  2 you  3 it  4 there",2 you
"(   ) do you like these shoes?  -I like the color, but they're too big.
1 Who  2 What  3 When  4 How",4 How
"That big tree in our school is sixty years (   ).
1 ago  2 before  3 old  4 later",3 old
"It's winter in August in Australia. You should bring (   ) clothes.
1 dark  2 light  3 small  4 warm",4 warm
"A day has twenty-four (   ).
1 minutes  2 hours  3 months  4 time",2 hours
"A new car (   ) to us this morning. - Oh, do you like it?
1 come  2 comes  3 came  4 coming",3 came
"I hear you went to China and took many pictures. (   ) that your first visit?
1 Was  2 Were  3 Does  4 Did",1 Was
"My mother isn't at home now and (   ) back home late this evening.
1 she was  2 she won't  3 she's going to  4 she'll be",4 she'll be
"Do you think Mary (   ) us when she gets home in Canada next week?
1 call  2 called  3 was calling  4 will call",4 will call
"I believe (   ) we can do anything if we try hard.
1 that  2 it  3 more  4 never",1 that
"A: I ( another / like / large / need / box) this.
B: OK. I'll get one for you.",I need another large box like this.
"Please write your name in Japanese (   ) a pencil.
1 by  2 through  3 with  4 in",3 with
"My parents are teachers.  Teaching math is (   ) work.
1 his  2 her  3 ours  4 their",4 their
"My school has four English teachers; three are Japanese, (   ) is from America.
1 another  2 other  3 others  4 the other",4 the other
"Tom sometimes (   ) me with my English homework.
1 teaches  2 helps  3 studies  4 does",2 helps
"A: Our ( have / any / school library / books / doesn't ) about our city's history.
B: Really? So let's go to the city library.",Our school library doesn't have any books about our city's history.
"Is my bike older than yours? - No, yours is (   ) than mine.
1 older  2 younger  3 more  4 newer",4 newer
"I like writing letters as (   ) as e-mails.
1 many  2 much 3 few  4 enough",2 much
"A: This park is very beautiful.
B: Yes. This is ( season / flowers / the best / see / to ).",This is the best season to see flowers.
"Mike found nothing (   ) for lunch at the restaurant.
1 eats  2 ate  3 eating  4 to eat",4 to eat
"The bag was not so big, so I carried it (   ).
1 easily  2 early  3 else  4 careful",1 easily
"A: Tempura and ramen are popular Japanese foods.
B: Yes, but do you know these ( foods / kinds / from / of / came ) foreign countries?","Yes, but do you know these kinds of foods came from foreign countries?"
"旅行の準備ができましたか。
Are you (   ) for the trip ?",ready
"ケビンは私の宿題を手伝ってくれました。
Kevin helped me (   ) my homework.",with
それはこの国で一番有名な場所の一つです。,"It is one of the most famous places in this country.
"
きみはオ―ストラリアに行ったことがある？,Have you ( ever ) been to Australia?
"あなたは良い選択をするために十分な情報を得るべきです。
You should get (   ) information to make a good choice.",enough
もし今日、きみが暇なら、ぼくの家に来ない？,"If you are free today, can you come to my houose?"
"彼女が手に持っているものは何ですか。
What is the thing (                                                                 )?",What is the thing (that ) she has in her hand?
"Mr. Green (   ) a book when I went into his room.
1 reads  2 has read  3 is reading  4 was reading",4
"(   ) first he couldn't speak English well. Now he speaks it very well.
1 Of  2 In  3 At  4 For",3
"Do you remember the woman (   ) came to see you yesterday?
1 who  2 whose  3 when  4 what",1
"A: ( this bird / in / what / is / called / Japanese ) ?
B: It's called a suzume.",What is the bird called in Japanese?
"父が昨日この魚を捕まえました。
This fish was (   ) by my father yesterday.",caught
"I have three cousins.  Two of them live in Japan, but (   ) lives in China.
1 another  2 others  3 the other  4 someone",3
"A: It's very hot today.  ( you / swimming / why / go / don't ) with me?
B: Sounds good.  I want to swim in a pool.",Why don't you go swimming with me?
"A: Thank you for your kind help.
B: No problem.  Nothing ( important / helping / than / more / is ) each other.",Nothing is important than helping each other.
"A: Excuse me.  Do you know the way to the city hospital?
B: Sorry, I don't know.  Oh, that map ( you / will / how / to / get / tell ) there.","Oh, that map will tell you how to get there."
"A: Have you finished the book yet?
B: No, not yet. It ( difficult / it / read / was / to / for me ) in a week.",It was difficult for me to read it in a week.
"ほとんどすべての生徒が昼食を食べ終えました。
(   ) all the students finished eating lunch.",Almost
"The man (   ) over there is my uncle.
1 stands  2 stood  3 standing  4 to stand",3
"I (   ) excited when I watch soccer games on TV.
1 feel  2 make  3 know  4 think",1 feel
"A: Tomorrow is Mary's birthday.
B: I know. I'm ( give / some flowers / going / to / her ).",I'm going to give her some flowers.
"There (   ) few eggs in the fridge, so I bought some more at the supermarket.
1 is  2 are  3 was  4 were",4 were
"What (   ) you looking for at that time?
1 are  2 do  3 were  4 did",3 were
"Will you open the window? - (   )
1 Let's see.  2 No problem.  3 Excuse me.  4 No, thank you.",2 No problem.
"(   ) are you going to stay here? -For a week.
1 When  2 How long  3 How much  4 How often",2 How long
"Mr Brown usually visits his grandmother's house (   ) three days. Last week he visited her on Monday and Thursday.
1 all  2 any  3 each  4 every",4 every
"Are you (   ) today? - Yes, I have a lot of things to do.
1 free  2 sure  3 busy  4 strange",3 busy
"We usually have (   ) rainy days in June than in May.
1 much  2 many  3 more  4 most",3 more
"A: Let's have lunch around here. Can you find some restaurants?
B: OK... Look. ( popular / is / new / restaurant / this ) among local people.",This new restaurant is popular among local people.
"A: Are ( interested / you / doing / in / volunteer ) work?
B: Yes. I'm doing it at a hospital once a week.",Are you interested in doing volunteer work?
"Let's go to a movie (   ) you are free tomorrow.
1 if  2 or  3 and  4 that",1 if
"A: ( went abroad / you / know / did / Ken ) to study art?
B: No, I didn't, Tell me about it.",Did you know Ken went abroad to study art?
"You can eat these cookies (   ) washing your hands.
1 by  2 after  3 with  4 for",2 after
"Are these cats yours? - Well, the black (   ) is mine.
1 it  2 one  3 that  4 another",2 one
"Are these books yours? - Yes, (   ) are.
1 you  2 they  3 that  4 it",2 they
"March (   ) thirty-one days.
1 is  2 are  3 has  4 have",3 has
"Ken enjoyed (   ) in the sea yesterday afternoon.
1 swim  2 swims  3 swimming  4 to swim",3 swimming
"A: How about this bag?
B: It's too small.I ( need / this / a bag / than / bigger ) bag.",I need a bag bigger than this bag.
"I went to Ken's house (   ) the guitar with him.
1 play  2 played  3 player  4 to play",4 to play
"The dog is running very (   ) to catch the ball.
1 fast  2 soon  3 early  4 before",1 fast
"My father always drives a car very (   ).
1 friendly  2 carefully  3 careful  4 care",2 carefully
"In Kyoto, (   ) sunny tomorrow?
1 was  2 does  3 will it  4 will it be",4 will it be
"The man had a happy (   ) with his family in the village.
1 life  2 live  3 lives  4 living.",1 life
"ミーティングでボビーにあったらよろしく言ってください。
( when / you / Bobby / to / hello / say ) see him at the meeting.",Say hello to Bobby when you see him at the meeting.
"A: Do you know (   ) Tommy left school so early?
B: He had a stomachache.
1 why  2 when  3 where  4 what",1 why
"A: Can you come camping with me this weekend?
B: Sorry, but I haven't (   ) my report yet, and I have to finish it this weekend.
1 begin  2 began  3 begun  4 beginning",3 begun
"Boy: I'm going to Hawaii for my summer vacation. (   )
Girl: No, but I'd like to go someday.
1 Would you like some?  2 Did you find your bag?
3 Have you ever been there?  4 How much are the tickets?",3 Have you ever been there?
"Keiko will keep (   ) English after high school. She wants to go to Australia in the future.
1 studying  2 study  3 studied  4 studies",1 studying
"マイクに部屋を掃除するよう言いましたか。
Did you ( Mike / tell / room / to / clean / his ) ?",Did you tell Mike to clean his room?
"この店で売られている果物はすべて新鮮です。
The ( fruits / store / at / this / are / sold ) all fresh.",The fruits sold at this store are all fresh.
"A: ( nice / the weather / last week)? （1語補って）
B: Yes, it was beautiful.",Was the weather nice last week?
"リンダが腕を骨折した。それは部屋のペンキ塗りをしているさいちゅうに起こった。はしごから落ちたのだ。
Linda (   ) her arm. It (   ) when she (   ) (   ). She (   ) down from  the stairs.",broke / happened / was painting / fell
"A: ( late / you / this morning / why)? （1語補って）
B: Because the traffic was bad.",Why were you late this morning?
"The train ( arrive) at the station, and Paula (get) off. Two friends of hers, John and Jenny, (wait) to meet her. ( (   )の動詞を適切な形に。１語とは限らない）",arrived / got / were waiting
"この単語はそんなによく使われない。
This word (   ) (   ) (   ) very often.",This word is not used very often.
This house built 100 years ago. （文の誤りを正しなさい）,This house was built 100 years ago.
"切手は郵便局で売られています。
Stamps (   ) (   ) in a post office.",Stamps are sold in a post office.
"この家は先月ペンキを塗られました。
The house (   ) (   ) last month. ",The house was painted last month.
"その事故で3人がけがをしました。
Three people (   ) (   ) in the accident.",Three people were injured in the accident.
"あなたは先週パーティに招待されましたか。
(   ) (   ) (    ) to the party last week?",Were you invited to the party last week?
Soccer plays in most countries of the world. （文の誤りを正しなさい）,Soccer is played in most countries of the world.
Why did the letter send to the wrong address? （文の誤りを正しなさい）,Why was the letter sent to the wrong address?
"昨日事故を見た。二人が病院に連れていかれた。
I (   ) an accident yesterday. Two people (   ) (   ) to the hospital.",I saw an accident yesterday. Two people were taken to the hospital.
"紙は木から作られる。
Paper (   ) (   ) (    ) wood.",Paper is made from wood.
"先週ホテルで火事があった。二部屋が損害を受けた。
There was a fire at the hotel last week. Two of the rooms (   ) (   ).",Two of the rooms were damaged.
"ジムとスーは結婚式に行ったの？－いや、招待されたんだけど行かなかった。
Did Jim and Sue go to the wedding? - No, they (   ) (   ), but they didn't go.","They were invited, but they didn't go. "
"数日前、私の自転車が盗まれました。
My bicycle (   ) (   ) a few days ago.",My bicycle was stolen a few days ago.
A garage is a place where cars repair. （文の誤りを正しなさい）,A garage is a place where cars are repaired.
Where are you born?  （文の誤りを正しなさい）,Where were you born?
How many languages are speaking in Canada?  （文の誤りを正しなさい）,How many languages are spoken in Canada?
"Somebody broke into our house, but nothing stolen.  （文の誤りを正しなさい）","Somebody broke into our house, but nothing was stolen"
When was invented the bicycle? （文の誤りを正しなさい）,When was the bicycle invented ?
"どこでこの絵を手に入れたの？－友達からもらったんです。
Where did you get this picture? - It (   ) (   ) to me by a friend of mine.",It was given to me by a friend of mine.
"休暇で出かけるとき、私はいつも同じ場所に行きます。( always / I / I / go / go / on / place / to / the same / vacation, /when ).","When I go on vacation, I always go to the same place."
"明日、もし気分がよくなければ、私は家にいるでしょう。( don't / feel / home / I / I'll / if / stay / tomorrow, / well ). ","If I don't feel well tomorrow, I'll stay home."
仕事を終わらせたら、寝ます。( I / I'm / bed / finish / going / my / to / when / work).,I'm going to bed when I finish my work.
"あなたのおなかがすいているなら、今お昼にしていいですよ。( can / have / hungry, / if / lunch / you're / we ) now.","If you're hungry, we can have lunch now."
"今夜、もし遅れたら、私を待たないでください。( don't / for / if / I'm / late / tonight, / wait ) me.  ","If I'm late tonight, don't wait for me."
"外に出てみると、雨が降っていた。(I / it / was / went / when / out, / raining).","When I went out, it was raining."
"これらの動物はずっと昔に姿を消しました。
These animals disappeared (   ) (   ).",long / ago
(   ) (   ) a soccer stadium in your town? (サッカー競技場があるか尋ねる文に）,Is there a soccer stadium in your town?
I ( be ) fascinated by French art when I visited France. ( (   )内の語を適切な形に）,I was fascinated by French art when I visited France.
He ( be ) a member of the baseball club two years ago. ( (   )内の語を適切な形に）,He was a member of the baseball club two years ago. 
I've been poor health. - That's ( 1 enough  2 too bad  3 kind of you ).,2
What's wrong? - I ( 1 have  2 take  3 experience ) a bad headache.,1
"どうかしましたか。(   ) (   )?
ー腕を骨折しました。I (   ) my (   ).",What's /wrong / broke / arm
"私は脚を折ったと思います。
I think I (   ) my (   ).",broke / leg
腕を骨折しました。I (   ) my (   ).,broke / arm
私は私の父といっしょにテニスをしに行きました。（7語）,I went playing tennis with my father.
彼はここに長い間ずっと住んでいます。（8語）,He has lived here for a long time.
I have a terrible headache.,ひどい頭痛がします。
I had a terrible headache yesterday.,私は昨日、ひどい頭痛でした。
"どうかなさいましたか。(   ) (   ) (   ) ?
私は頭痛がします。I (   ) a (    ).","What's the matter?
have / headache"
"私は頭痛がします。
I ( 1 have  2 am  3 do ) a headache.",1 have
"どれくらいの間頭痛がしていますか。
How long have you (   ) a (   ) ?",had / headache
I hurt my left shoulder.,私は左肩をけがしました。
